species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,average_body_mass_x,average_flipper_length_x,average_body_mass_y,average_flipper_length_y,body_mass_standardized
Adelie,Torgersen,39.1,18.7,181.0,3750.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.5684747832140795
Adelie,Torgersen,39.5,17.4,186.0,3800.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.5062861817652331
Adelie,Torgersen,40.3,18.0,195.0,3250.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.1903607977025437
Adelie,Torgersen,36.7,19.3,193.0,3450.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.941606391907158
Adelie,Torgersen,39.3,20.6,190.0,3650.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.6928519861117723
Adelie,Torgersen,38.9,17.8,181.0,3625.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.7239462868361956
Adelie,Torgersen,39.2,19.6,195.0,4675.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,0.5820143435895789
Adelie,Torgersen,41.1,17.6,182.0,3200.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.25254939915139
Adelie,Torgersen,38.6,21.2,191.0,3800.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.5062861817652331
Adelie,Torgersen,34.6,21.1,198.0,4400.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,0.23997703562092373
Adelie,Torgersen,36.6,17.8,185.0,3700.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.6306633846629259
Adelie,Torgersen,38.7,19.0,195.0,3450.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.941606391907158
Adelie,Torgersen,42.5,20.7,197.0,4500.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,0.36435423851861654
Adelie,Torgersen,34.4,18.4,184.0,3325.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.097077895529274
Adelie,Torgersen,46.0,21.5,194.0,4200.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.008777370174461903
Adelie,Biscoe,37.8,18.3,174.0,3400.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.0037949933560044
Adelie,Biscoe,37.7,18.7,180.0,3600.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.7550405875606188
Adelie,Biscoe,35.9,19.2,189.0,3800.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.5062861817652331
Adelie,Biscoe,38.2,18.1,185.0,3950.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.3197203774186939
Adelie,Biscoe,38.8,17.2,180.0,3800.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.5062861817652331
Adelie,Biscoe,35.3,18.9,187.0,3800.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.5062861817652331
Adelie,Biscoe,40.6,18.6,183.0,3550.0,MALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-0.8172291890094652
Adelie,Biscoe,40.5,17.9,187.0,3200.0,FEMALE,3706.1643835616437,190.1027397260274,3706.1643835616437,190.1027397260274,-1.25254939915139
